A,0,25,23.85572794,250
B,0,25,23.75437794,250
C,0,25,23.73012794,250
D,0,25,23.59500294,250
E,0,25,23.75535294,250
A,1,26.25,26.18072794,54
B,1,25,25.01937794,4
C,1,25,25.02012794,6
D,1,25,24.99500294,21
E,1,25,25.00535294,13
A,2,27.5,27.44072794,65
B,2,25,25.21437794,0
C,2,25,25.21512794,0
D,2,25,25.02000294,6
E,2,25,25.10035294,0
A,3,28.77083333,28.72072794,75
B,3,25,25.61437794,0
C,3,25,25.57012794,0
D,3,25,25.14500294,0
E,3,25,25.33035294,0
A,4,30.02083333,29.98072794,83
B,4,25,26.08937794,0
C,4,25,25.99012794,0
D,4,25,25.38500294,0
E,4,25,25.63535294,0
A,5,31.27083333,31.21072794,103
B,5,25,26.57437794,0
C,5,25,26.45012794,0
D,5,25,25.66000294,0
E,5,25,25.97035294,0
A,6,32.5,32.47072794,102
B,6,25,27.04937794,0
C,6,25,26.92012794,0
D,6,25,25.92000294,0
E,6,25,26.31035294,0
A,7,33.75,33.70572794,120
B,7,25,27.52437794,0
C,7,25,27.38512794,0
D,7,25,26.21500294,0
E,7,25,26.67035294,0
A,8,35,34.95072794,133
B,8,25,28.00437794,0
C,8,25,27.86012794,0
D,8,25,26.44500294,0
E,8,25,27.03535294,0
A,9,36.27083333,36.21572794,148
B,9,25,28.47937794,0
C,9,25,28.35012794,0
D,9,25,26.69000294,0
E,9,25,27.37535294,0
A,10,37.52083333,37.48572794,152
B,10,25,28.94437794,0
C,10,25,28.82512794,0
D,10,25,26.95500294,0
E,10,25,27.71535294,0
A,11,38.77083333,38.72572794,168
B,11,25,29.39937794,0
C,11,25,29.32012794,0
D,11,25,27.19500294,0
E,11,25,28.04535294,0
A,12,40,39.97572794,170
B,12,25,29.89437794,0
C,12,25,29.74512794,0
D,12,25,27.46500294,0
E,12,25,28.39035294,0
A,13,41.25,41.21572794,186
B,13,25,30.38937794,0
C,13,25,30.23512794,0
D,13,25,27.74500294,0
E,13,25,28.73535294,0
A,14,42.5,42.45072794,203
B,14,25,30.88937794,0
C,14,25,30.66512794,0
D,14,25,28.01000294,0
E,14,25,29.07535294,0
A,15,43.77083333,43.74072794,208
B,15,25,31.33437794,0
C,15,25,31.15012794,0
D,15,25,28.24500294,0
E,15,25,29.39035294,0
A,16,45.02083333,44.98572794,222
B,16,25,31.78937794,0
C,16,25,31.61012794,0
D,16,25,28.52000294,0
E,16,25,29.70035294,0
A,17,46.29166667,46.23072794,244
B,17,25,32.22437794,0
C,17,25,32.09012794,0
D,17,25,28.78000294,0
E,17,25,30.02035294,0
A,18,47.5,47.46572794,245
B,18,25,32.67937794,0
C,18,25,32.53512794,0
D,18,25,29.02000294,0
E,18,25,30.31035294,0
A,19,48.75,48.53072794,250
B,19,25,33.11437794,0
C,19,25,33.01012794,0
D,19,25,29.26000294,0
E,19,25,30.61535294,0
A,20,50,49.20572794,250
B,20,25,33.50437794,0
C,20,25,33.41512794,0
D,20,25,29.50500294,0
E,20,25,30.88035294,0
A,21,50,49.48072794,250
B,21,25,33.68437794,0
C,21,25,33.72512794,0
D,21,25,29.64000294,0
E,21,25,31.05035294,0
A,22,50,49.69572794,250
B,22,25,33.85937794,0
C,22,25,33.95012794,0
D,22,25,29.76000294,0
E,22,25,31.17535294,0
A,23,50,49.92072794,250
B,23,25,34.00437794,0
C,23,25,34.12512794,0
D,23,25,29.91000294,0
E,23,25,31.26535294,0
A,24,50,50.12572794,250
B,24,25,34.16937794,0
C,24,25,34.30512794,0
D,24,25,30.04000294,0
E,24,25,31.36035294,0
A,25,50,50.23572794,250
B,25,25,34.21937794,0
C,25,25,34.46512794,0
D,25,25,30.09500294,0
E,25,25,31.45035294,0
A,26,50,50.37072794,250
B,26,25,34.36437794,0
C,26,25,34.55512794,0
D,26,25,30.19000294,0
E,26,25,31.53035294,0
A,27,50,50.51072794,250
B,27,25,34.43437794,0
C,27,25,34.64512794,0
D,27,25,30.23500294,0
E,27,25,31.62535294,0
A,28,50,50.31072794,240
B,28,25,34.56437794,0
C,28,25,34.71012794,0
D,28,25,30.35000294,0
E,28,25,31.71535294,0
A,29,50,50.15072794,239
B,29,25,34.56437794,0
C,29,25,34.76012794,0
D,29,25,30.38500294,0
E,29,25,31.77035294,0
A,30,50,50.06572794,240
B,30,25,34.63437794,0
C,30,25,34.78012794,0
D,30,25,30.49000294,0
E,30,25,31.84535294,0
A,31,50,50.03572794,236
B,31,25,34.67937794,0
C,31,25,34.77012794,0
D,31,25,30.59500294,0
E,31,25,31.86035294,0
A,32,50,50.01072794,239
B,32,25,34.67437794,0
C,32,25,34.80512794,0
D,32,25,30.60500294,0
E,32,25,31.88535294,0
A,33,50,49.99072794,246
B,33,25,34.63437794,0
C,33,25,34.75512794,0
D,33,25,30.62000294,0
E,33,25,31.82035294,0
A,34,50,49.98572794,246
B,34,25,34.58937794,0
C,34,25,34.81012794,0
D,34,25,30.57000294,0
E,34,25,31.84535294,0
A,35,50,50.00572794,236
B,35,25,34.62937794,0
C,35,25,34.81012794,0
D,35,25,30.56500294,0
E,35,25,31.92035294,0
A,36,50,49.99072794,242
B,36,25,34.66437794,0
C,36,25,34.80012794,0
D,36,25,30.53500294,0
E,36,25,31.97035294,0
A,37,50,50.00072794,238
B,37,25,34.57437794,0
C,37,25,34.81512794,0
D,37,25,30.45500294,0
E,37,25,31.97535294,0
A,38,50,49.99072794,243
B,38,25,34.53937794,0
C,38,25,34.79512794,0
D,38,25,30.41000294,0
E,38,25,31.96535294,0
A,39,50,49.99072794,244
B,39,25,34.47437794,0
C,39,25,34.81512794,0
D,39,25,30.35000294,0
E,39,25,31.91035294,0
A,40,50,50.00072794,240
B,40,25,34.46437794,0
C,40,25,34.79012794,0
D,40,25,30.35500294,0
E,40,25,31.90035294,0
A,41,48.75,48.81572794,196
B,41,25,34.44937794,0
C,41,25,34.75512794,0
D,41,25,30.41500294,0
E,41,25,31.87535294,0
A,42,47.5,47.55072794,184
B,42,25,34.38937794,0
C,42,25,34.58512794,0
D,42,25,30.49500294,0
E,42,25,31.82535294,0
A,43,46.22916667,46.27072794,170
B,43,25,34.18437794,0
C,43,25,34.36512794,0
D,43,25,30.47500294,0
E,43,25,31.75535294,0
A,44,44.97916667,45.01572794,156
B,44,25,33.94437794,0
C,44,25,34.10512794,0
D,44,25,30.42000294,0
E,44,25,31.65535294,0
A,45,43.72916667,43.77572794,137
B,45,25,33.67437794,0
C,45,25,33.79512794,0
D,45,25,30.37000294,0
E,45,25,31.54035294,0
A,46,42.5,42.54572794,123
B,46,25,33.40937794,0
C,46,25,33.48012794,0
D,46,25,30.26500294,0
E,46,25,31.43035294,0
A,47,41.25,41.29572794,109
B,47,25,33.06937794,0
C,47,25,33.11012794,0
D,47,25,30.15000294,0
E,47,25,31.28035294,0
A,48,40,40.04072794,97
B,48,25,32.77937794,0
C,48,25,32.74012794,0
D,48,25,30.05500294,0
E,48,25,31.11535294,0
A,49,38.72916667,38.77572794,80
B,49,25,32.41437794,0
C,49,25,32.34012794,0
D,49,25,29.89000294,0
E,49,25,30.96535294,0
A,50,37.47916667,37.53072794,65
B,50,25,32.05937794,0
C,50,25,31.93512794,0
D,50,25,29.73500294,0
E,50,25,30.79035294,0
A,51,36.22916667,36.27572794,54
B,51,25,31.69437794,0
C,51,25,31.54512794,0
D,51,25,29.57000294,0
E,51,25,30.60035294,0
A,52,35,35.06072794,36
B,52,25,31.32937794,0
C,52,25,31.14512794,0
D,52,25,29.40000294,0
E,52,25,30.39535294,0
A,53,33.75,33.79572794,29
B,53,25,30.95937794,0
C,53,25,30.74012794,0
D,53,25,29.26500294,0
E,53,25,30.19035294,0
A,54,32.5,32.54072794,18
B,54,25,30.57937794,0
C,54,25,30.33012794,0
D,54,25,29.10000294,0
E,54,25,29.94035294,0
A,55,31.22916667,31.39572794,0
B,55,25,30.17437794,0
C,55,25,29.93012794,0
D,55,25,28.92000294,0
E,55,25,29.71535294,0
A,56,29.97916667,30.64572794,0
B,56,25,29.81937794,0
C,56,25,29.52512794,0
D,56,25,28.73000294,0
E,56,25,29.50035294,0
A,57,28.70833333,30.11072794,0
